,epoch,train_loss,val_loss
0,1,3.3294922478737368,3.237704369329637
1,2,3.1665227345881926,3.0903566537364835
2,3,3.0031381095609357,2.8608216047286987
3,4,2.79989708719715,2.665312636283136
4,5,2.5679668957187283,2.4030566484697404
5,6,2.3370394870158164,2.1554341200859315
6,7,2.1218206488317057,1.9290883964107883
7,8,1.9309354299499142,1.7451616429513501
8,9,1.7561584941802486,1.5659274228157536
9,10,1.6105706908049122,1.4519157044349178
10,11,1.482556814868604,1.3105229658465232
11,12,1.3769540392583417,1.243864970822488
12,13,1.2880139170635132,1.16485599740859
13,14,1.206041008955048,1.096251429088654
14,15,1.1410072960199849,1.0525062478357745
15,16,1.088430217677547,1.0230536105171326
16,17,1.032298811260731,0.9420400425311057
17,18,0.9833022113288602,0.8883960150903271
18,19,0.9292222146065005,0.8891725030637556
19,20,0.8950828390736734,0.846130000006768
20,21,0.858603137154733,0.8066775125841941
21,22,0.8239580961244721,0.7989723244982381
22,23,0.7859190812995357,0.764028404028185
23,24,0.7738589237053548,0.7850405165264683
24,25,0.7509239147747716,0.7222077111082692
25,26,0.7073254396598185,0.7214964464787514
26,27,0.6886795905809249,0.7065157318307508
